"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создать пользователя и не заполнить одно из обязательных полей (name)","261","Создать пользователя без имени","tests","Wed Sep 24 15:11:12 PDT 2025","passed","Wed Sep 24 15:11:12 PDT 2025","TestCreateUser","test_create_user","",""
"Создать уникального пользователя","910","Создать уникального пользователя","tests","Wed Sep 24 15:11:10 PDT 2025","passed","Wed Sep 24 15:11:11 PDT 2025","TestCreateUser","test_create_user","",""
"Создание заказа с ингредиентами","2630","Создание заказа с ингредиентами","tests","Wed Sep 24 15:11:05 PDT 2025","passed","Wed Sep 24 15:11:07 PDT 2025","TestCreateOrder","test_create_order","",""
"Создание заказа с авторизацией","2551","Создание заказа с авторизацией","tests","Wed Sep 24 15:11:01 PDT 2025","passed","Wed Sep 24 15:11:03 PDT 2025","TestCreateOrder","test_create_order","",""
"Создать пользователя и не заполнить одно из обязательных полей (password)","271","Создать пользователя без пароля","tests","Wed Sep 24 15:11:12 PDT 2025","passed","Wed Sep 24 15:11:12 PDT 2025","TestCreateUser","test_create_user","",""
"Создать пользователя, который уже зарегистрирован","73","Создать пользователя, который уже зарегистрирован","tests","Wed Sep 24 15:11:11 PDT 2025","passed","Wed Sep 24 15:11:11 PDT 2025","TestCreateUser","test_create_user","",""
"Создание заказа без ингредиентов","76","Создание заказа без ингредиентов","tests","Wed Sep 24 15:11:08 PDT 2025","passed","Wed Sep 24 15:11:08 PDT 2025","TestCreateOrder","test_create_order","",""
"Создать пользователя и не заполнить одно из обязательных полей (email)","269","Создать пользователя без email","tests","Wed Sep 24 15:11:12 PDT 2025","passed","Wed Sep 24 15:11:12 PDT 2025","TestCreateUser","test_create_user","",""
"Вход с неверным логином и паролем","269","Вход с неверным логином и паролем","tests","Wed Sep 24 15:11:00 PDT 2025","passed","Wed Sep 24 15:11:00 PDT 2025","TestAuth","test_auth","",""
"Создание заказа с неверным хешем ингредиентов","80","Создание заказа с неверным хешем ингредиентов","tests","Wed Sep 24 15:11:09 PDT 2025","passed","Wed Sep 24 15:11:09 PDT 2025","TestCreateOrder","test_create_order","",""
"Создание заказа без авторизации","281","Создание заказа без авторизации","tests","Wed Sep 24 15:11:04 PDT 2025","passed","Wed Sep 24 15:11:04 PDT 2025","TestCreateOrder","test_create_order","",""
"Вход под существующим пользователем","130","Вход под существующим пользователем","tests","Wed Sep 24 15:10:59 PDT 2025","passed","Wed Sep 24 15:11:00 PDT 2025","TestAuth","test_auth","",""
